2 1 102 85
2 2 10 98
2 3 110 84
2 4 112 83
2 5 114 83
2 6 118 82
2 7 119 82
2 8 11 98
2 9 122 82
2 10 128 81
3 1 12 98
3 2 130 81
3 3 135 80
3 4 138 80
3 5 13 98
3 6 141 79
3 7 142 79
3 8 144 79
3 9 14 97
3 10 159 77
4 1 15 97
4 2 160 76
4 3 162 76
4 4 167 75
4 5 16 97
4 6 175 74
4 7 176 74
4 8 17 97
4 9 181 73
4 10 187 73
5 1 193 72
5 2 197 71
5 3 199 71
5 4 19 97
5 5 1 99
5 6 20 97
5 7 215 68
5 8 22 96
5 9 23 96
5 10 247 64
6 1 24 96
6 2 275 60
6 3 27 96
6 4 28 95
6 5 290 58
6 6 296 57
6 7 2 99
6 8 312 54
6 9 32 95
7 10 33 95
7 1 34 95
7 2 35 94
7 3 39 94
7 4 3 99
7 5 40 94
7 6 41 94
7 7 433 37
7 8 44 93
7 9 45 93
7 10 474 31
8 1 47 93
8 2 48 93
8 3 506 26
8 4 50 92
8 5 53 92
8 6 55 92
8 7 57 91
8 8 60 91
8 9 618 10
8 10 62 91
9 1 634 08
9 2 636 08
9 3 64 90
9 4 67 90
9 5 68 90
9 6 693 0
9 7 6 99
9 8 73 89
9 9 74 89
9 10 78 88
10 1 79 88
10 2 7 98
10 3 80 88
10 4 81 88
10 5 85 87
10 6 8 98
10 7 92 86
10 8 93 86
10 9 98 85
10 10 9 98
